Experiment	1
Chao et al., 2012; TrauE > PTSD-	0
Chen et al., 2009; TrauE > PTSD-	1
Flemingham et al., 2009; TrauE > PTSD-	2
Hakamata et al., 2007; TrauE > PTSD-	0
Herringa et al., 2012; TrauE > PTSD-	0
Kasi et al., 2008; TrauE > PTSD-	1
Kroes et al., 2011; TrauE > PTSD-	1
Li et al., 2006; TrauE > PTSD-	1
Nardo et al., 2010; TrauE > PTSD-	0
O'Dohetry et al., 2017; TrauE > PTSD-	1
Qi et al., 2020; TrauE > PTSD-	1
Rocha-Rego et al., 2012; TrauE > PTSD-	1
Sui et al., 2010; TrauE > PTSD-	0
Yamasue et al., 2003; TrauE > PTSD-	0
Zhang et al., 2011; TrauE > PTSD-	0
Zhang et al., 2018; TrauE > PTSD-	0
